TransID,Xiamen.经度,Xiamen.纬度,combine
12870,118.15528,24.51088,"118.155280,24.510880"
12871,118.105993,24.593378,"118.105993,24.593378"
12872,118.116395,24.494753,"118.116395,24.494753"
12893,118.250079,24.659526,"118.250079,24.659526"
12894,118.029132,24.564855,"118.029132,24.564855"
12898,118.088909,24.466727,"118.088909,24.466727"
12899,118.099487,24.575474,"118.099487,24.575474"
12900,118.148994,24.73491,"118.148994,24.734910"
12901,118.248896,24.626707,"118.248896,24.626707"
12902,118.095112,24.507041,"118.095112,24.507041"
12903,118.103809,24.503695,"118.103809,24.503695"
12904,118.12064,24.470312,"118.120640,24.470312"
12905,118.159617,24.474933,"118.159617,24.474933"
12906,118.038263,24.453449,"118.038263,24.453449"
4563,117.983884,24.462532,"117.983884,24.462532"
